Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
Revenge,Revenge,Xxxtentacion,5/18/2017,USUYG1142409,"2,955",25,1356969354,0,0,53.0,0,0,0,0,0,212,1
Attention,NewJeans 1st EP 'New Jeans',Newjeans,8/1/2022,USA2P2230221,"2,962",25,384965888,0,0,72.0,0,0,0,0,0,0,0
Spring Snow,"Lovely Runner, Pt. 8 (Original Soundtrack)",10Cm,5/14/2024,KRA492400665,"2,968",25,18800716,0,0,73.0,0,0,0,0,0,0,0
Tshwala Bam (feat. S.N.E) - Remix,Tshwala Bam (feat. S.N.E) [Remix],Titom,5/12/2024,ZA56E2416068,"2,957",25,13092462,0,0,75.0,0,0,0,0,0,0,0
Halls na Lï¿½ï¿½,Halls na Lï¿½ï¿½,Kadu Martins,3/24/2023,BRTS22300004,"2,969",25,150516046,0,0,63.0,0,0,0,0,0,0,0
21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),Nathan Dawe,4/29/2022,GBAHS2200261,"2,964",25,305830522,0,0,70.0,0,0,0,0,0,0,0
Yeshua (dance cruise),YESHUA (dance cruise) - Single,Dj Bentoa,4/22/2023,QZHNB2325204,"2,975",25,4546579,0,0,3.0,0,0,0,0,0,0,0
Zaalim,Zaalim,Badshah,2/24/2024,INS182400465,"2,966",25,7682285,243,0,,0,0,0,0,0,0,0
Aa,Aa,Roach Killa,9/28/2023,GBMW42301521,"2,963",25,22552299,0,0,,0,0,0,0,0,0,0
Rojo,Rojo,J Balvin,2/27/2020,USUM72001732,"2,970",25,606603985,0,0,68.0,0,0,0,0,0,0,0
Wonder,Wonder,Shawn Mendes,10/2/2020,USUM72018522,"2,965",25,595220757,0,0,63.0,0,0,0,0,0,0,0
Search Bar,Search Bar,Nani,3/17/2023,GBMJG2304014,"2,971",25,6610,15,122,,0,0,0,0,0,34,0
Muï¿½ï¿½ekita (with El Alfa & JT from City Gi,Muï¿½ï¿½ekita (with El Alfa & JT from City Gi,Kali Uchis,8/4/2023,USUM72311229,"2,967",25,96105220,0,0,60.0,0,0,0,0,0,0,1
Midnight City,"Hurry Up, We're Dreaming",M83,1/1/2011,GB55H1100002,"2,954",25,1081517243,0,0,72.0,0,0,0,0,0,0,0
Better Together,What You See Is What You Get,Luke Combs,11/8/2019,US6XF1800183,"2,953",25,356603747,0,0,69.0,0,0,0,0,0,0,0
Sal y Perrea,42,Sech,4/15/2021,QM9WM2100010,"2,952",25,266525796,0,0,57.0,0,0,0,0,0,0,0
IDGAF (feat. Chris Brown and Mariah the Scientist),Tee's Coney Island,Tee Grizzley,11/2/2023,USAT22311000,"2,973",25,20520983,65,0,,0,0,0,0,0,0,0
drunk text,drunk text,Henry Moodie,1/27/2023,GBARL2202513,"2,961",25,238841927,0,0,81.0,0,0,0,0,0,0,0
UNA NOCHE EN MEDELLï¿½ï¿½N - R,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,Karol G,8/10/2023,USUG12305258,"2,959",25,192439879,0,0,73.0,0,0,0,0,0,0,1
Ginza,Ginza,J Balvin,6/23/2015,MXUM71501907,"2,974",25,521328627,0,0,70.0,0,0,0,0,0,0,0
Hari Hari Odhani,Hari Hari Odhani,Pawan Singh,11/4/2022,INS7A2268218,"2,960",25,35308201,954,0,58.0,0,0,0,0,0,0,0
AM Remix,AM Remix,Nio Garcia,6/24/2021,QMBZ92185047,"2,956",25,571325612,0,0,66.0,0,0,50,995,0,0,1
Baby Me Atende,Baby Me Atende,Matheus Fernandes,2/26/2021,BRWNV2100001,"2,951",25,258464933,0,0,50.0,0,0,0,0,0,0,0
Hello Koun,Hello Koun,Ritesh Pandey,12/9/2019,INT501947392,"2,972",25,4078322,178,0,18.0,0,0,0,0,0,0,0
La Jeepeta,La Jeepeta,Nio Garcia,1/2/2020,QMFMF1907946,"2,958",25,80772450,0,0,45.0,0,0,0,0,0,0,1
Jumpman,What A Time To Be Alive,Drake,9/20/2015,USCM51500300,"2,994",25,820380309,0,0,64.0,0,0,0,0,0,0,1
Creatures in Heaven,Creatures In Heaven,Glass Animals,4/3/2024,GBUM72310164,"2,979",25,18564601,0,0,,0,0,0,0,0,0,0
die,die,Lucidbeatz,3/3/2023,QZTLA2301933,"2,991",25,28779088,0,0,61.0,0,0,0,0,0,0,0
Late At Night,Late At Night,Roddy Ricch,6/4/2021,USAT22102236,"2,990",25,257661585,0,0,56.0,0,0,0,0,0,0,1
Blank Space (Taylor's Version),1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306673,"2,992",25,177731392,0,0,,0,0,0,0,0,0,0
Dancing in My Room,Dancing in My Room,347Aidan,10/26/2020,USQX92004785,"2,976",25,335188091,0,0,61.0,0,0,0,0,0,0,1
Wild Ones (feat. Sia),Good Feeling EP,Flo Rida,1/1/2011,USAT21104103,"2,983",25,886640358,0,0,76.0,0,0,0,0,0,0,0
Heartless (feat. Morgan Wallen),Heartless (feat. Morgan Wallen),Diplo,8/16/2019,USSM11905215,"2,977",25,548333714,0,0,77.0,0,0,0,0,0,0,1
CAKE,KILL MY DOUBT,Itzy,7/31/2023,US5TA2300075,"2,981",25,73213687,0,0,62.0,0,0,0,0,0,0,0
I AM WOMAN,I AM WOMAN,Emmy Meli,11/19/2021,USAR12100239,"2,993",25,257984057,0,0,62.0,0,0,0,0,0,0,1
THUNDER Y LIGHTNING,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364198,"2,988",25,96595281,0,0,,0,0,0,0,0,0,1
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Ivory,Omar Apollo,4/8/2022,USWB12200423,"2,986",25,331332225,0,0,71.0,0,0,0,0,0,0,0
Personal,Talk To Ya - EP,Hrvy,11/30/2017,GBUM71705474,"2,987",25,314089265,0,0,58.0,0,0,0,0,0,0,0
Lionheart (Fearless),Lionheart (Fearless),Joel Corry,10/21/2022,GBAHS2201155,"2,985",25,110545738,0,0,62.0,0,0,0,0,0,0,0
Nevermind,Nevermind,Dennis Lloyd,12/5/2016,USHM91642610,"2,980",25,968235402,0,0,72.0,0,0,131,0,0,0,0
Needle (feat. Drake),Pink Friday 2,Nicki Minaj,12/8/2023,USUM72318690,"2,982",25,70351205,0,0,,0,0,0,0,0,0,1
Dale Don Dale,Dale Don Dale,Elmusto,5/17/2024,TRADS2300163,"2,978",25,14289955,745,0,71.0,0,0,0,0,0,0,0
Slow Hands,Slow Hands,Niall Horan,5/4/2017,USUG11700631,"2,989",25,946043494,0,0,70.0,0,0,0,0,0,0,0
I Wrote The Book,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300808,"2,984",25,140137839,0,0,64.0,0,0,0,0,0,0,0
It's Plenty,"Love, Damini",Burna Boy,7/1/2022,USAT22205418,"3,000",25,134909945,0,0,62.0,0,0,0,0,0,0,1
sneaky,american dream,21 Savage,1/12/2024,USSM12309176,"3,005",25,54062895,0,0,,0,0,0,0,0,0,1
Magnolia,Playboi Carti,Playboi Carti,4/14/2017,USUM71703095,"3,002",25,834795353,0,0,73.0,0,0,0,0,0,0,1
